house_num,year,an_income,mon_expense,savings,debt
328,2013,1200000,16000,0,0
328,2014,1200000,16000,0,0
328,2015,1200000,16000,0,0
329,2011,1200000,120000,0,0
329,2012,1200000,120000,0,0
329,2013,1200000,120000,0,0
329,2014,1200000,120000,0,0
329,2015,1200000,120000,0,0
338,2011,1100000,90000,0,0
338,2012,1100000,90000,0,0
338,2013,1100000,90000,0,0
338,2014,1100000,90000,0,0
338,2015,1100000,90000,0,0
348,2011,4000000,210000,0,0
348,2012,4000000,210000,0,0
348,2013,4500000,210000,0,0
348,2014,4500000,210000,0,0
348,2015,6600000,210000,0,0
349,2011,1600000,110000,0,1
349,2012,1600000,110000,0,1
349,2013,1600000,110000,0,1
349,2014,1600000,110000,0,1
349,2015,1600000,110000,0,1
350,2011,350000,25000,0,0
350,2012,350000,25000,0,0
350,2013,350000,25000,0,0
350,2014,350000,25000,0,0
350,2015,350000,25000,0,0
351,2011,360000,45000,0,1
351,2012,360000,45000,0,1
351,2013,360000,45000,0,1
351,2014,360000,45000,0,1
351,2015,360000,45000,0,1
352,2011,800000,80000,0,0
352,2012,800000,80000,0,0
352,2013,800000,80000,0,0
352,2014,800000,80000,0,0
352,2015,700000,80000,0,0
353,2011,800000,90000,0,0
353,2012,800000,90000,0,0
353,2013,800000,90000,0,0
353,2014,800000,90000,0,0
353,2015,800000,90000,0,0
375,2011,2800000,300000,0,0
375,2012,2800000,300000,0,0
375,2013,2800000,300000,0,0
375,2014,4300000,500000,0,0
375,2015,3600000,500000,0,0
438,2011,4000000,70000,0,1
438,2012,4000000,70000,0,1
438,2013,4000000,70000,0,1
438,2014,4000000,70000,0,1
438,2015,4000000,70000,0,1
439,2011,1500000,150000,0,0
439,2012,1500000,150000,0,0
439,2013,1500000,150000,0,0
439,2014,1500000,150000,0,0
439,2015,1500000,150000,0,0
440,2011,4000000,200000,0,1
440,2012,4000000,200000,0,1
440,2013,4300000,400000,0,1
440,2014,4300000,400000,0,1
440,2015,4300000,400000,0,1
75,2011,2600000,228500,0,0
75,2012,2600000,228500,0,0
75,2013,2600000,228500,0,1
75,2014,2600000,228500,0,1
75,2015,2600000,228500,0,1
76,2011,1000000,50000,0,0
76,2012,1000000,50000,0,0
76,2013,1000000,50000,0,0
76,2014,1000000,50000,0,0
76,2015,1000000,50000,0,0
78,2011,1080000,120000,0,0
78,2012,1080000,120000,0,0
78,2013,1080000,120000,0,0
78,2014,1080000,120000,0,0
78,2015,1080000,120000,0,1
78,2011,1080000,120000,0,0
78,2012,1080000,120000,0,0
78,2013,1080000,120000,0,0
78,2014,1080000,120000,0,0
78,2015,1080000,120000,0,1
127,2011,1800000,200000,0,0
127,2012,1800000,200000,0,0
127,2013,1800000,200000,0,0
127,2014,1800000,200000,0,0
127,2015,1800000,200000,0,0
128,2011,999,150000,0,999
128,2012,999,150000,0,999
128,2013,999,150000,0,999
128,2014,999,150000,0,999
128,2015,999,150000,0,999
129,2011,200000,150000,0,0
129,2012,200000,150000,0,0
129,2013,200000,150000,0,0
129,2014,200000,150000,0,0
129,2015,200000,150000,0,1
129,2011,200000,150000,0,0
129,2012,200000,150000,0,0
129,2013,200000,150000,0,0
129,2014,200000,150000,0,1
129,2015,200000,150000,0,1
157,2011,25000000,250000,0,1
157,2012,25000000,250000,0,1
157,2013,25000000,250000,0,1
157,2014,25000000,250000,0,1
157,2015,25000000,250000,0,1
158,2011,6000000,180000,0,1
158,2012,6000000,180000,0,1
158,2013,6000000,180000,0,1
158,2014,6000000,180000,0,1
158,2015,6000000,180000,0,1
173,2011,999,999,999,999
173,2012,999,999,999,999
173,2013,999,999,999,999
173,2014,999,999,999,999
173,2015,999,999,999,999
174,2011,999,999,0,999
174,2012,999,999,0,999
174,2013,999,999,0,999
174,2014,999,999,0,999
174,2015,999,100000,0,999
176,2011,720000,150000,0,1
176,2012,720000,150000,0,1
176,2013,720000,150000,0,1
176,2014,720000,150000,0,1
176,2015,720000,150000,0,1
177,2011,2400000,150000,0,1
177,2012,2400000,150000,0,1
177,2013,2400000,150000,0,1
177,2014,2400000,150000,0,1
177,2015,2400000,150000,0,1
178,2011,1960000,150000,0,1
178,2012,1960000,150000,0,1
178,2013,1960000,150000,0,1
178,2014,1960000,150000,0,1
178,2015,1960000,150000,0,1
179,2011,9910000,30000,0,1
179,2012,9910000,30000,0,1
179,2013,9910000,30000,0,1
179,2014,9910000,30000,0,1
179,2015,9910000,30000,0,1
180,2011,999,999,0,1
180,2012,999,999,0,1
180,2013,999,999,0,1
180,2014,999,999,0,1
180,2015,6700000,500000,0,1
193,2011,2000000,100000,0,1
193,2012,2000000,100000,0,1
193,2013,2000000,100000,0,1
193,2014,2000000,100000,0,1
193,2015,2000000,100000,0,1
194,2011,1800000,100000,0,1
194,2012,1800000,100000,0,1
194,2013,1800000,100000,0,1
194,2014,1800000,100000,0,1
194,2015,1800000,100000,0,1
233,2011,4000000,150000,0,1
233,2012,4000000,150000,0,1
233,2013,4000000,150000,0,1
233,2014,6000000,150000,0,1
233,2015,6000000,150000,0,1
4,2011,2000000,150000,0,1
4,2012,2000000,150000,0,1
4,2013,2000000,150000,0,1
4,2014,2000000,150000,0,1
4,2015,1500000,150000,0,1
5,2011,2000000,100000,0,0
5,2012,2000000,100000,0,0
5,2013,2000000,100000,0,0
5,2014,2000000,100000,0,0
5,2015,2000000,100000,0,0
87,2011,1000000,150000,1,1
87,2012,1000000,150000,1,1
87,2013,1000000,150000,1,1
87,2014,0,150000,1,1
87,2015,0,150000,1,1
88,2011,700000,40000,0,1
88,2012,700000,40000,0,1
88,2013,700000,40000,0,1
88,2014,700000,40000,0,1
88,2015,700000,40000,0,1
206,2011,1200000,100000,0,0
206,2012,1200000,100000,0,0
206,2013,1200000,100000,0,0
206,2014,1200000,100000,0,0
206,2015,1200000,100000,0,1
207,2011,700000,100000,0,0
207,2012,700000,100000,0,0
207,2013,700000,100000,0,0
207,2014,700000,100000,0,0
207,2015,700000,100000,0,0
208,2011,5000000,100000,0,0
208,2012,5000000,100000,0,0
208,2013,2500000,100000,0,0
208,2014,5000000,100000,0,0
208,2015,5000000,100000,0,0
209,2011,999,999,999,999
209,2012,999,999,999,999
209,2013,999,999,999,999
209,2014,999,999,999,999
209,2015,999,999,999,999
245,2011,3500000,200000,1,0
245,2012,3500000,200000,1,0
245,2013,3500000,200000,1,0
245,2014,3500000,200000,1,0
245,2015,4000000,200000,1,0
246,2011,3500000,200000,1,0
246,2012,3500000,200000,1,0
246,2013,4000000,200000,1,0
246,2014,4000000,200000,1,0
246,2015,4000000,200000,1,0
247,2011,3800000,150000,1,0
247,2012,3800000,150000,1,0
247,2013,3800000,150000,1,0
247,2014,3800000,150000,1,0
247,2015,3800000,150000,1,0
248,2011,350000,60000,0,1
248,2012,350000,60000,0,1
248,2013,400000,60000,0,1
248,2014,500000,60000,0,1
248,2015,500000,60000,0,1
249,2011,1500000,200000,0,1
249,2012,1500000,200000,0,1
249,2013,1500000,200000,0,1
249,2014,1500000,200000,0,1
249,2015,1500000,200000,0,1
275,2011,2200000,41000,0,0
275,2012,2200000,41000,0,0
275,2013,2200000,41000,0,0
275,2014,2200000,41000,0,0
275,2015,2200000,41000,0,0
276,2011,1000000,75000,0,1
276,2012,1000000,75000,0,1
276,2013,1000000,75000,0,1
276,2014,1000000,75000,0,1
276,2015,1000000,75000,0,1
278,2011,2375000,100000,0,1
278,2012,2375000,100000,0,1
278,2013,2460000,100000,0,1
278,2014,0,100000,0,1
278,2015,1800000,100000,0,1
279,2011,850000,25000,0,1
279,2012,850000,25000,0,1
279,2013,850000,25000,0,1
279,2014,750000,25000,0,1
279,2015,1450000,25000,0,1
280,2011,1000000,70000,0,0
280,2012,1000000,70000,0,0
280,2013,1000000,70000,0,0
280,2014,900000,70000,0,0
280,2015,2100000,70000,0,0
311,2011,400000,30000,0,1
311,2012,400000,30000,0,1
311,2013,400000,30000,0,1
311,2014,400000,30000,0,1
311,2015,400000,30000,0,1
312,2011,100000,30000,0,1
312,2012,100000,30000,0,1
312,2013,100000,30000,0,1
312,2014,100000,30000,0,1
312,2015,100000,30000,0,1
314,2011,1000000,90000,0,1
314,2012,1000000,90000,0,1
314,2013,1000000,90000,0,1
314,2014,1000000,90000,0,0
314,2015,1000000,90000,0,0
315,2011,1350000,100000,0,0
315,2012,1350000,100000,0,0
315,2013,1350000,100000,0,0
315,2014,1350000,100000,0,0
315,2015,1350000,100000,0,0
334,2011,1200000,90000,0,1
334,2012,1200000,90000,0,1
334,2013,1200000,90000,0,1
334,2014,1200000,150000,0,1
334,2015,1200000,150000,0,1
366,2011,1200000,120000,0,1
366,2012,1200000,120000,0,1
366,2013,1200000,120000,0,1
366,2014,1200000,120000,0,1
366,2015,1200000,120000,0,1
367,2011,4990000,150000,0,1
367,2012,4990000,150000,0,1
367,2013,4990000,150000,0,1
367,2014,4990000,150000,0,1
367,2015,4990000,150000,0,1
368,2011,999,200000,0,1
368,2012,999,200000,0,1
368,2013,999,200000,0,1
368,2014,999,200000,0,1
368,2015,2266000,200000,0,1
384,2011,999,999,999,999
384,2012,999,999,999,999
384,2013,999,999,999,999
384,2014,999,999,999,999
384,2015,999,999,999,999
385,2011,900000,90000,0,0
385,2012,900000,90000,0,0
385,2013,900000,90000,0,0
385,2014,2800000,90000,0,0
385,2015,2400000,90000,0,0
391,2011,3240000,234700,0,1
391,2012,3220000,234700,0,1
391,2013,3130000,234700,0,1
391,2014,1080000,234700,0,1
391,2015,1040000,234700,0,1
396,2011,11700000,510000,0,0
396,2012,12000000,510000,0,0
396,2013,12000000,510000,0,0
396,2014,12000000,510000,0,0
396,2015,12000000,510000,0,1
397,2011,1180000,360000,0,1
397,2012,1180000,360000,0,1
397,2013,1180000,360000,0,1
397,2014,1180000,360000,0,1
397,2015,1180000,360000,0,1
398,2011,1920000,220000,0,0
398,2012,1920000,220000,0,0
398,2013,1920000,220000,0,0
398,2014,940000,220000,0,1
398,2015,940000,220000,0,1
399,2011,1500000,250000,1,1
399,2012,1500000,250000,1,1
399,2013,1500000,250000,1,1
399,2014,1500000,250000,1,1
399,2015,1500000,250000,1,1
428,2011,2862000,1.5,1,1
428,2012,2862000,1.5,1,1
428,2013,2862000,1.5,1,1
428,2014,2862000,1.5,1,1
428,2015,2734000,1.5,1,1
429,2011,800000,100000,0,1
429,2012,800000,100000,0,1
429,2013,800000,100000,0,1
429,2014,800000,100000,0,1
429,2015,800000,100000,0,1
430,2011,5000000,500000,0,1
430,2012,5000000,500000,0,1
430,2013,5000000,500000,0,1
430,2014,5000000,500000,0,1
430,2015,5000000,500000,0,1
431,2011,2225000,185400,0,0
431,2012,2225000,185400,0,0
431,2013,2225000,185400,0,0
431,2014,2225000,185400,0,0
431,2015,2225000,185400,0,0
137,2011,10000000,200000,1,0
137,2012,10000000,200000,1,0
137,2013,10000000,200000,1,0
137,2014,10000000,200000,1,0
137,2015,15000000,200000,1,0
138,2011,2000000,300000,0,0
138,2012,2000000,300000,0,0
138,2013,2000000,300000,0,0
138,2014,2300000,300000,0,0
138,2015,2500000,300000,0,0
139,2011,1500000,700000,0,0
139,2012,1500000,700000,0,0
139,2013,1500000,700000,0,0
139,2014,1500000,700000,0,0
139,2015,1500000,700000,0,0
140,2011,1300000,50000,0,0
140,2012,1300000,50000,0,0
140,2013,1300000,50000,0,0
140,2014,1300000,50000,0,0
140,2015,1750000,50000,1,0
141,2011,3000000,300000,0,0
141,2012,3000000,300000,0,0
141,2013,3000000,300000,0,0
141,2014,3000000,300000,0,0
141,2015,3000000,300000,0,0
142,2011,4000000,100000,0,0
142,2012,4000000,100000,0,0
142,2013,4000000,100000,0,0
142,2014,4000000,100000,0,0
142,2015,5000000,100000,0,0
181,2011,2270000,208333,0,0
181,2012,1775000,208333,0,0
181,2013,395000,208333,0,1
181,2014,1340000,208333,0,0
181,2015,1340000,250000,0,0
182,2011,2880000,250000,0,0
182,2012,2290000,250000,0,0
182,2013,1990000,250000,0,0
182,2014,2290000,250000,0,0
182,2015,2290000,333333.3333,0,0
183,2011,800000,400000,0,1
183,2012,800000,400000,0,1
183,2013,800000,400000,0,1
183,2014,500000,400000,0,1
183,2015,500000,500000,0,1
184,2011,999,999,999,999
184,2012,999,999,999,999
184,2013,999,999,999,999
184,2014,999,999,999,999
184,2015,999,999,999,999
185,2011,1389000,900000,0,1
185,2012,1389000,900000,0,1
185,2013,1389000,900000,0,1
185,2014,1389000,900000,0,1
185,2015,1389000,900000,0,1
211,2011,10000000,291666.6667,0,1
211,2012,10000000,291666.6667,0,1
211,2013,5000000,291666.6667,0,1
211,2014,6000000,291666.6667,0,1
211,2015,10000000,291666.6667,0,1
212,2011,4000000,375000,0,1
212,2012,4000000,375000,0,1
212,2013,8000000,375000,0,1
212,2014,8000000,375000,0,1
212,2015,8000000,375000,0,1
213,2011,2500000,100000,0,1
213,2012,2500000,100000,0,1
213,2013,2500000,100000,0,1
213,2014,2500000,100000,0,1
213,2015,2500000,100000,0,1
214,2011,2500000,183333.3333,0,0
214,2012,2500000,183333.3333,0,0
214,2013,2500000,183333.3333,0,0
214,2014,4200000,183333.3333,0,0
214,2015,4300000,250000,0,0
255,2011,3000000,150000,0,1
255,2012,3000000,150000,0,1
255,2013,3000000,150000,0,1
255,2014,3000000,150000,0,1
255,2015,3000000,150000,0,1
270,2011,1200000,83333.33333,0,1
270,2012,1200000,83333.33333,0,1
270,2013,1200000,83333.33333,0,1
270,2014,1200000,83333.33333,0,1
270,2015,1660000,102000,0,1
271,2011,8800000,110000,0,1
271,2012,8800000,110000,0,1
271,2013,8400000,110000,0,1
271,2014,8400000,110000,0,1
271,2015,9000000,130000,0,1
272,2011,1000000,190000,0,1
272,2012,1000000,190000,0,1
272,2013,1000000,190000,0,1
272,2014,1540000,190000,0,1
272,2015,2540000,190000,0,1
273,2011,2000000,100000,0,1
273,2012,2000000,100000,0,1
273,2013,1000000,100000,0,1
273,2014,1000000,100000,0,1
273,2015,1000000,110000,0,1
274,2011,11300000,105000,0,0
274,2012,11300000,105000,0,0
274,2013,10200000,105000,0,0
274,2014,10200000,105000,0,0
274,2015,11000000,105000,0,0
316,2011,5000000,180000,0,1
316,2012,6000000,180000,0,1
316,2013,6300000,180000,0,1
316,2014,4300000,180000,0,1
316,2015,3800000,180000,0,1
317,2011,1000000,90000,0,0
317,2012,1000000,90000,0,0
317,2013,1000000,90000,0,0
317,2014,1000000,90000,0,0
317,2015,1000000,90000,0,0
339,2011,600000,150000,0,1
339,2012,600000,150000,0,1
339,2013,600000,150000,0,1
339,2014,600000,150000,0,1
339,2015,700000,150000,0,1
340,2011,3000000,100000,0,0
340,2012,3000000,100000,0,0
340,2013,3000000,100000,0,0
340,2014,3000000,100000,0,0
340,2015,3000000,100000,0,0
341,2011,4000000,100000,0,1
341,2012,1300000,100000,0,1
341,2013,1300000,100000,0,1
341,2014,1300000,100000,0,1
341,2015,1300000,100000,0,1
342,2011,1000000,300000,0,1
342,2012,1000000,300000,0,1
342,2013,1000000,300000,0,1
342,2014,1000000,300000,0,1
342,2015,1000000,300000,0,1
343,2011,300000,100000,0,1
343,2012,300000,100000,0,1
343,2013,300000,100000,0,1
343,2014,300000,100000,0,1
343,2015,300000,100000,0,1
345,2011,4740000,170000,0,1
345,2012,4740000,170000,0,1
345,2013,5140000,170000,0,1
345,2014,5340000,170000,0,1
345,2015,6350000,210000,0,1
346,2011,2880000,210000,0,1
346,2012,2880000,210000,0,1
346,2013,2880000,210000,0,1
346,2014,2880000,210000,0,1
346,2015,2880000,210000,0,1
347,2011,8640000,50000,0,1
347,2012,8640000,50000,0,1
347,2013,8640000,50000,0,1
347,2014,8640000,50000,0,1
347,2015,8640000,50000,0,1
354,2011,2500000,200000,0,1
354,2012,2500000,200000,0,1
354,2013,2500000,200000,0,1
354,2014,2500000,200000,0,1
354,2015,2800000,200000,0,1
355,2011,1750000,100000,0,0
355,2012,1750000,100000,0,0
355,2013,1750000,100000,0,0
355,2014,1750000,100000,0,1
355,2015,1750000,100000,0,1
400,2011,1900000,80000,0,0
400,2012,1900000,80000,0,0
400,2013,1900000,80000,0,0
400,2014,1900000,80000,0,0
400,2015,2000000,80000,0,0
401,2011,640000,150000,0,1
401,2012,960000,150000,0,1
401,2013,960000,150000,0,1
401,2014,1280000,150000,0,1
401,2015,1280000,150000,0,1
402,2011,900000,80000,0,0
402,2012,900000,80000,0,0
402,2013,2350000,80000,0,1
402,2014,2350000,80000,0,1
402,2015,2350000,80000,0,1
186,2011,700000,75000,0,0
186,2012,700000,75000,0,0
186,2013,700000,75000,0,0
186,2014,700000,75000,0,0
186,2015,700000,75000,0,0
265,2011,1450000,16000,0,0
265,2012,1450000,16000,0,0
265,2013,1450000,16000,0,0
265,2014,1450000,16000,0,0
265,2015,1450000,16000,0,0
266,2011,2000000,100000,0,0
266,2012,2000000,100000,0,0
266,2013,2000000,100000,0,0
266,2014,2000000,100000,0,0
266,2015,2000000,100000,0,0
267,2011,144000,90000,0,0
267,2012,144000,90000,0,0
267,2013,144000,90000,0,0
267,2014,144000,90000,0,0
267,2015,144000,90000,0,0
268,2011,999,999,999,999
268,2012,999,999,999,999
268,2013,999,999,999,999
268,2014,999,999,999,999
268,2015,999,999,999,999
175,2011,5000000,300000,0,0
175,2012,5000000,300000,0,0
175,2013,5000000,300000,0,0
175,2014,5000000,300000,0,0
175,2015,5000000,300000,0,0
299,2011,2000000,100000,0,0
299,2012,2000000,100000,0,0
299,2013,2000000,100000,0,0
299,2014,2000000,100000,0,0
299,2015,2000000,100000,0,0
300,2011,1000000,100000,0,0
300,2012,1000000,100000,0,0
300,2013,1000000,100000,0,0
300,2014,1000000,100000,0,0
300,2015,1000000,100000,0,0
301,2011,2000000,150000,0,0
301,2012,2000000,150000,0,0
301,2013,2000000,150000,0,0
301,2014,2000000,150000,0,1
301,2015,2000000,150000,0,1
302,2011,2500000,100000,0,0
302,2012,2500000,100000,0,0
302,2013,2500000,100000,1,0
302,2014,2500000,100000,1,0
302,2015,2500000,100000,1,0
409,2011,2000000,200000,0,0
409,2012,2000000,200000,0,0
409,2013,2000000,200000,0,0
409,2014,2000000,200000,0,0
409,2015,2000000,200000,0,0
411,,,,,
370,2011,2000000,150000,0,0
370,2012,2000000,150000,0,0
370,2013,2000000,150000,1,0
370,2014,2000000,150000,1,0
370,2015,2000000,150000,1,0
433,2011,1200000,100000,0,0
433,2012,1200000,100000,0,0
433,2013,1200000,100000,0,0
433,2014,1500000,100000,0,0
433,2015,1500000,100000,0,0
434,2011,10000000,300000,1,0
434,2012,10000000,300000,1,0
434,2013,10000000,300000,1,0
434,2014,10000000,300000,1,0
434,2015,10000000,300000,1,0
435,2011,2000000,150000,0,1
435,2012,2000000,150000,0,1
435,2013,2000000,150000,0,1
435,2014,2400000,150000,0,1
435,2015,1600000,150000,0,1
436,2011,700000,100000,1,0
436,2012,1200000,100000,1,0
436,2013,1200000,100000,1,0
436,2014,1200000,100000,1,0
436,2015,1200000,100000,1,0
32,2011,800000,73600,0,1
32,2012,800000,65000,0,1
32,2013,800000,59000,0,1
32,2014,800000,59000,0,1
32,2015,800000,59000,0,1
33,2011,3500000,300000,0,1
33,2012,3500000,300000,0,1
33,2013,3500000,300000,0,1
33,2014,3500000,300000,0,1
33,2015,3500000,300000,0,1
33,2011,2500000,200000,0,0
33,2012,2500000,200000,0,0
33,2013,2500000,200000,0,0
33,2014,2500000,200000,0,0
33,2015,3500000,200000,0,0
34,2011,999,999,999,999
34,2012,999,999,999,999
34,2013,999,999,999,999
34,2014,999,999,999,999
34,2015,999,999,999,999
35,2011,2000000,30000,0,0
35,2012,2000000,30000,0,0
35,2013,2000000,30000,0,0
35,2014,2000000,30000,0,0
35,2015,2000000,30000,0,0
36,2011,999,999,999,999
36,2012,999,999,999,999
36,2013,999,999,999,999
36,2014,999,999,999,999
36,2015,999,999,999,999
37,2011,999,999,999,999
37,2012,999,999,999,999
37,2013,999,999,999,999
37,2014,999,999,999,999
37,2015,999,999,999,999
38,2011,999,10000,0,1
38,2012,999,10000,0,1
38,2013,999,10000,0,1
38,2014,999,10000,0,1
38,2015,999,10000,0,1
39,2011,500000,45000,0,1
39,2012,500000,45000,0,1
39,2013,500000,45000,0,1
39,2014,500000,45000,0,1
39,2015,500000,45000,0,1
40,2011,1440000,90000,0,1
40,2012,1440000,90000,0,1
40,2013,1440000,90000,0,1
40,2014,1440000,90000,0,1
40,2015,1440000,90000,0,1
41,2011,100000,45000,0,1
41,2012,100000,45000,0,1
41,2013,100000,45000,0,1
41,2014,100000,45000,0,1
41,2015,100000,45000,0,1
93,2011,450000,30000,0,0
93,2012,450000,30000,0,0
93,2013,450000,30000,0,0
93,2014,1000000,30000,0,0
93,2015,1000000,30000,0,1
94,2011,999,999,0,1
94,2012,999,999,0,1
94,2013,999,999,0,1
94,2014,999,999,0,1
94,2015,960000,120000,0,1
95,2011,1000000,88000,0,1
95,2012,1000000,88000,0,1
95,2013,1000000,88000,0,1
95,2014,1000000,88000,0,1
95,2015,1500000,88000,0,1
96,2011,800000,40000,0,0
96,2012,800000,40000,0,0
96,2013,900000,40000,0,1
96,2014,800000,40000,0,1
96,2015,1000000,50000,0,1
105,2011,2000000,70000,0,0
105,2012,2000000,70000,0,0
105,2013,2000000,70000,0,0
105,2014,2000000,70000,0,0
105,2015,2000000,70000,0,0
234,2011,999,999,999,999
234,2012,999,999,999,999
234,2013,999,999,999,999
234,2014,999,999,999,999
234,2015,999,999,999,999
235,2011,9000000,400000,0,0
235,2012,9000000,400000,0,0
235,2013,9000000,400000,0,0
235,2014,9000000,400000,0,1
235,2015,9000000,400000,0,1
236,2011,1500000,150000,0,0
236,2012,1500000,150000,0,1
236,2013,1500000,150000,0,1
236,2014,1500000,150000,0,1
236,2015,1500000,150000,0,1
237,2011,6000000,200000,0,0
237,2012,6000000,200000,0,0
237,2013,6000000,200000,0,0
237,2014,10000000,200000,0,0
237,2015,10000000,200000,0,0
240,2011,320000,50000,0,1
240,2012,320000,50000,0,1
240,2013,320000,50000,0,1
240,2014,320000,50000,0,1
240,2015,320000,50000,0,1
344,2011,800000,50000,0,1
344,2012,800000,50000,0,1
344,2013,800000,50000,0,1
344,2014,1000000,50000,0,1
344,2015,1500000,50000,0,1
389,2011,4000000,150000,0,0
389,2012,4000000,150000,0,0
389,2013,4000000,150000,0,0
389,2014,4000000,150000,0,0
389,2015,4000000,150000,0,0
392,2011,1500000,50000,0,1
392,2012,1500000,50000,0,1
392,2013,1500000,50000,0,1
392,2014,1500000,50000,0,1
392,2015,1500000,50000,0,1
393,2011,200000,50000,0,1
393,2012,200000,50000,0,1
393,2013,200000,50000,0,1
393,2014,200000,50000,0,1
393,2015,400000,50000,0,1
394,2011,600000,150000,0,1
394,2012,600000,150000,0,1
394,2013,600000,150000,0,1
394,2014,600000,150000,0,1
394,2015,600000,150000,0,1
395,2011,60000,100000,0,1
395,2012,60000,100000,0,1
395,2013,60000,100000,0,1
395,2014,60000,100000,0,1
395,2015,60000,100000,0,1
444,2011,1100000,150000,1,1
444,2012,1100000,150000,1,1
444,2013,1100000,150000,1,1
444,2014,1100000,150000,1,1
444,2015,1100000,150000,1,1
446,2011,1200000,90000,0,1
446,2012,1200000,90000,0,1
446,2013,1200000,90000,0,1
446,2014,1200000,90000,0,1
446,2015,1200000,90000,0,1
1,2011,880000,120000,1,0
1,2012,1060000,120000,1,0
1,2013,1090000,120000,1,0
1,2014,1300000,120000,1,0
1,2015,1800000,120000,1,0
2,2011,999,999,999,999
2,2012,999,999,999,999
2,2013,999,999,999,999
2,2014,999,999,999,999
2,2015,999,999,999,999
3,2011,1500000,300000,0,0
3,2012,1600000,300000,0,0
3,2013,1400000,300000,0,0
3,2014,1600000,300000,0,0
3,2015,1500000,300000,0,0
6,2011,999,999,999,999
6,2012,999,999,999,999
6,2013,999,999,999,999
6,2014,999,999,999,999
